Time	CellId	RNTI	BWPId	SINR(dB)
4.16207	1	4	0	-2.30142
4.16207	1	5	0	3.08193
4.16207	1	6	0	3.94164
4.16307	1	1	0	8.39019
4.16307	1	2	0	12.1452
4.16307	1	3	0	12.7088
4.16307	1	4	0	-2.30142
4.16307	1	5	0	3.08193
4.16307	1	6	0	3.94164
4.16407	1	1	0	8.39019
4.16407	1	2	0	12.1452
4.16407	1	3	0	12.7088
4.16407	1	4	0	-2.30142
4.16407	1	5	0	3.08193
4.16407	1	6	0	3.94164
4.16507	1	1	0	8.39019
4.16507	1	2	0	12.1452
4.16507	1	3	0	12.7088
4.16507	1	4	0	-2.30142
4.16507	1	5	0	3.08193
4.16507	1	6	0	3.94164
4.16607	1	1	0	8.39019
4.16607	1	2	0	12.1452
4.16607	1	3	0	12.7088
4.16607	1	4	0	-2.30142
4.16607	1	5	0	3.08193
4.16607	1	6	0	3.94164
4.16707	1	1	0	8.39019
4.16707	1	2	0	12.1452
4.16707	1	3	0	12.7088
4.16707	1	4	0	-2.30142
4.16707	1	5	0	3.08193
4.16707	1	6	0	3.94164
4.16807	1	1	0	8.39019
4.16807	1	2	0	12.1452
4.16807	1	3	0	12.7088
4.16807	1	4	0	-2.30142
4.16807	1	5	0	3.08193
4.16807	1	6	0	3.94164
4.16907	1	1	0	8.39019
4.16907	1	2	0	12.1452
4.16907	1	3	0	12.7088
4.16907	1	4	0	-2.30142
4.16907	1	5	0	3.08193
4.16907	1	6	0	3.94164
4.17007	1	1	0	8.39019
4.17007	1	2	0	12.1452
4.17007	1	3	0	12.7088
4.17007	1	4	0	-2.30142
4.17007	1	5	0	3.08193
4.17007	1	6	0	3.94164
4.17107	1	1	0	8.39019
4.17107	1	2	0	12.1452
4.17107	1	3	0	12.7088
4.17107	1	4	0	-2.30142
4.17107	1	5	0	3.08193
4.17107	1	6	0	3.94164
4.17207	1	1	0	8.39019
4.17207	1	2	0	12.1452
4.17207	1	3	0	12.7088
4.17207	1	4	0	-2.30142
4.17207	1	5	0	3.08193
4.17207	1	6	0	3.94164
4.17307	1	1	0	8.39019
4.17307	1	2	0	12.1452
4.17307	1	3	0	12.7088
4.17307	1	4	0	-2.30142
4.17307	1	5	0	3.08193
4.17307	1	6	0	3.94164
4.17407	1	1	0	8.39019
4.17407	1	2	0	12.1452
4.17407	1	3	0	12.7088
4.17407	1	4	0	-2.30142
4.17407	1	5	0	3.08193
4.17407	1	6	0	3.94164
4.17507	1	1	0	8.39019
4.17507	1	2	0	12.1452
4.17507	1	3	0	12.7088
4.17507	1	4	0	-2.30142
4.17507	1	5	0	3.08193
4.17507	1	6	0	3.94164
4.17607	1	1	0	8.39019
4.17607	1	2	0	12.1452
4.17607	1	3	0	12.7088
4.17607	1	4	0	-2.30142
4.17607	1	5	0	3.08193
4.17607	1	6	0	3.94164
4.17707	1	1	0	8.39019
4.17707	1	2	0	12.1452
4.17707	1	3	0	12.7088
4.17707	1	4	0	-2.30142
4.17707	1	5	0	3.08193
4.17707	1	6	0	3.94164
4.17807	1	1	0	8.39019
4.17807	1	2	0	12.1452
4.17807	1	3	0	12.7088
4.17807	1	4	0	-2.30142
4.17807	1	5	0	3.08193
4.17807	1	6	0	3.94164
4.17907	1	1	0	8.39019
4.17907	1	2	0	12.1452
4.17907	1	3	0	12.7088
4.17907	1	4	0	-2.30142
4.17907	1	5	0	3.08193
4.17907	1	6	0	3.94164
4.18007	1	1	0	8.39019
4.18007	1	2	0	12.1452
4.18007	1	3	0	12.7088
4.18007	1	4	0	-2.30142
4.18007	1	5	0	3.08193
4.18007	1	6	0	3.94164
4.18107	1	1	0	8.39019
4.18107	1	2	0	12.1452
4.18107	1	3	0	12.7088
4.18107	1	4	0	-2.30142
4.18107	1	5	0	3.08193
4.18107	1	6	0	3.94164
4.18207	1	1	0	8.39019
4.18207	1	2	0	12.1452
4.18207	1	3	0	12.7088
4.18207	1	4	0	-2.30142
4.18207	1	5	0	3.08193
4.18207	1	6	0	3.94164
4.18307	1	1	0	8.39019
4.18307	1	2	0	12.1452
4.18307	1	3	0	12.7088
4.18307	1	4	0	-2.30142
4.18307	1	5	0	3.08193
4.18307	1	6	0	3.94164
4.18407	1	1	0	8.39019
4.18407	1	2	0	12.1452
4.18407	1	3	0	12.7088
4.18407	1	4	0	-2.30142
4.18407	1	5	0	3.08193
4.18407	1	6	0	3.94164
4.18507	1	1	0	8.39019
4.18507	1	2	0	12.1452
4.18507	1	3	0	12.7088
4.18507	1	4	0	-2.30142
4.18507	1	5	0	3.08193
4.18507	1	6	0	3.94164
4.18607	1	1	0	8.39019
4.18607	1	2	0	12.1452
4.18607	1	3	0	12.7088
4.18607	1	4	0	-2.30142
4.18607	1	5	0	3.08193
4.18607	1	6	0	3.94164
4.18707	1	1	0	8.39019
4.18707	1	2	0	12.1452
4.18707	1	3	0	12.7088
4.18707	1	4	0	-2.30142
4.18707	1	5	0	3.08193
4.18707	1	6	0	3.94164
4.18807	1	1	0	8.39019
4.18807	1	2	0	12.1452
4.18807	1	3	0	12.7088
4.18807	1	4	0	-2.30142
4.18807	1	5	0	3.08193
4.18807	1	6	0	3.94164
4.18907	1	1	0	8.39019
4.18907	1	2	0	12.1452
4.18907	1	3	0	12.7088
4.18907	1	4	0	-2.30142
4.18907	1	5	0	3.08193
4.18907	1	6	0	3.94164
4.19007	1	1	0	8.39019
4.19007	1	2	0	12.1452
4.19007	1	3	0	12.7088
4.19007	1	4	0	-2.30142
4.19007	1	5	0	3.08193
4.19007	1	6	0	3.94164
4.19107	1	1	0	8.39019
4.19107	1	2	0	12.1452
4.19107	1	3	0	12.7088
4.19107	1	4	0	-2.30142
4.19107	1	5	0	3.08193
4.19107	1	6	0	3.94164
4.19207	1	1	0	8.39019
4.19207	1	2	0	12.1452
4.19207	1	3	0	12.7088
4.19207	1	4	0	-2.30142
4.19207	1	5	0	3.08193
4.19207	1	6	0	3.94164
4.19307	1	1	0	8.39019
4.19307	1	2	0	12.1452
