Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
6.04307	DL DCI Rxed	604	3	0	1	3	0	11	2
6.04307	DL DCI Rxed	604	3	0	1	4	0	11	2
6.04393	HARQ FD Txed	604	3	0	1	4	0	13	2
6.04393	HARQ FD Txed	604	3	0	1	3	0	13	2
6.04407	DL DCI Rxed	604	4	0	1	1	0	13	2
6.04407	DL DCI Rxed	604	4	0	1	2	0	13	2
6.04407	DL DCI Rxed	604	4	0	1	3	0	15	2
6.04407	DL DCI Rxed	604	4	0	1	4	0	15	2
6.04493	HARQ FD Txed	604	4	0	1	1	0	14	2
6.04493	HARQ FD Txed	604	4	0	1	2	0	14	2
6.04493	HARQ FD Txed	604	4	0	1	4	0	12	2
6.04493	HARQ FD Txed	604	4	0	1	3	0	12	2
6.04507	DL DCI Rxed	604	5	0	1	3	0	14	2
6.04507	DL DCI Rxed	604	5	0	1	4	0	14	2
6.04593	HARQ FD Txed	604	5	0	1	4	0	11	2
6.04593	HARQ FD Txed	604	5	0	1	3	0	11	2
6.04607	DL DCI Rxed	604	6	0	1	1	0	15	2
6.04607	DL DCI Rxed	604	6	0	1	2	0	15	2
6.04607	DL DCI Rxed	604	6	0	1	3	0	13	2
6.04607	DL DCI Rxed	604	6	0	1	4	0	13	2
6.04693	HARQ FD Txed	604	6	0	1	1	0	13	2
6.04693	HARQ FD Txed	604	6	0	1	2	0	13	2
6.04693	HARQ FD Txed	604	6	0	1	4	0	15	2
6.04693	HARQ FD Txed	604	6	0	1	3	0	15	2
6.04707	DL DCI Rxed	604	7	0	1	3	0	12	2
6.04707	DL DCI Rxed	604	7	0	1	4	0	12	2
6.04793	HARQ FD Txed	604	7	0	1	4	0	14	2
6.04793	HARQ FD Txed	604	7	0	1	3	0	14	2
6.04807	DL DCI Rxed	604	8	0	1	1	0	14	2
6.04807	DL DCI Rxed	604	8	0	1	2	0	14	2
6.04807	DL DCI Rxed	604	8	0	1	3	0	11	2
6.04807	DL DCI Rxed	604	8	0	1	4	0	11	2
6.04893	HARQ FD Txed	604	8	0	1	1	0	15	2
6.04893	HARQ FD Txed	604	8	0	1	2	0	15	2
6.04893	HARQ FD Txed	604	8	0	1	4	0	13	2
6.04893	HARQ FD Txed	604	8	0	1	3	0	13	2
6.04907	DL DCI Rxed	604	9	0	1	3	0	15	2
6.04907	DL DCI Rxed	604	9	0	1	4	0	15	2
6.04993	HARQ FD Txed	604	9	0	1	4	0	12	2
6.04993	HARQ FD Txed	604	9	0	1	3	0	12	2
6.05007	DL DCI Rxed	605	0	0	1	1	0	13	2
6.05007	DL DCI Rxed	605	0	0	1	2	0	13	2
6.05007	DL DCI Rxed	605	0	0	1	3	0	14	2
6.05007	DL DCI Rxed	605	0	0	1	4	0	14	2
6.05093	HARQ FD Txed	605	0	0	1	1	0	14	2
6.05093	HARQ FD Txed	605	0	0	1	2	0	14	2
6.05093	HARQ FD Txed	605	0	0	1	4	0	11	2
6.05093	HARQ FD Txed	605	0	0	1	3	0	11	2
6.05107	DL DCI Rxed	605	1	0	1	3	0	13	2
6.05107	DL DCI Rxed	605	1	0	1	4	0	13	2
6.05193	HARQ FD Txed	605	1	0	1	4	0	15	2
6.05193	HARQ FD Txed	605	1	0	1	3	0	15	2
6.05207	DL DCI Rxed	605	2	0	1	1	0	15	2
6.05207	DL DCI Rxed	605	2	0	1	2	0	15	2
6.05207	DL DCI Rxed	605	2	0	1	3	0	12	2
6.05207	DL DCI Rxed	605	2	0	1	4	0	12	2
6.05293	HARQ FD Txed	605	2	0	1	1	0	13	2
6.05293	HARQ FD Txed	605	2	0	1	2	0	13	2
6.05293	HARQ FD Txed	605	2	0	1	4	0	14	2
6.05293	HARQ FD Txed	605	2	0	1	3	0	14	2
6.05307	DL DCI Rxed	605	3	0	1	3	0	11	2
6.05307	DL DCI Rxed	605	3	0	1	4	0	11	2
6.05393	HARQ FD Txed	605	3	0	1	4	0	13	2
6.05393	HARQ FD Txed	605	3	0	1	3	0	13	2
6.05407	DL DCI Rxed	605	4	0	1	1	0	14	2
6.05407	DL DCI Rxed	605	4	0	1	2	0	14	2
6.05407	DL DCI Rxed	605	4	0	1	3	0	15	2
6.05407	DL DCI Rxed	605	4	0	1	4	0	15	2
6.05407	DL DCI Rxed	605	4	0	1	5	0	15	2
6.05407	DL DCI Rxed	605	4	0	1	6	0	15	2
6.05493	HARQ FD Txed	605	4	0	1	1	0	15	2
6.05493	HARQ FD Txed	605	4	0	1	2	0	15	2
6.05493	HARQ FD Txed	605	4	0	1	4	0	12	2
6.05493	HARQ FD Txed	605	4	0	1	3	0	12	2
6.05507	DL DCI Rxed	605	5	0	1	3	0	14	2
6.05507	DL DCI Rxed	605	5	0	1	4	0	14	2
6.05593	HARQ FD Txed	605	5	0	1	4	0	11	2
6.05593	HARQ FD Txed	605	5	0	1	3	0	11	2
6.05607	DL DCI Rxed	605	6	0	1	1	0	13	2
6.05607	DL DCI Rxed	605	6	0	1	2	0	13	2
6.05607	DL DCI Rxed	605	6	0	1	3	0	13	2
6.05607	DL DCI Rxed	605	6	0	1	4	0	13	2
6.05693	HARQ FD Txed	605	6	0	1	5	0	15	2
6.05693	HARQ FD Txed	605	6	0	1	6	0	15	2
6.05693	HARQ FD Txed	605	6	0	1	1	0	14	2
6.05693	HARQ FD Txed	605	6	0	1	2	0	14	2
6.05693	HARQ FD Txed	605	6	0	1	4	0	15	2
6.05693	HARQ FD Txed	605	6	0	1	3	0	15	2
6.05707	DL DCI Rxed	605	7	0	1	3	0	12	2
6.05707	DL DCI Rxed	605	7	0	1	4	0	12	2
6.05793	HARQ FD Txed	605	7	0	1	4	0	14	2
6.05793	HARQ FD Txed	605	7	0	1	3	0	14	2
6.05807	DL DCI Rxed	605	8	0	1	1	0	15	2
6.05807	DL DCI Rxed	605	8	0	1	2	0	15	2
6.05807	DL DCI Rxed	605	8	0	1	3	0	11	2
6.05807	DL DCI Rxed	605	8	0	1	4	0	11	2
6.05893	HARQ FD Txed	605	8	0	1	2	0	13	2
6.05893	HARQ FD Txed	605	8	0	1	4	0	13	2
6.05893	HARQ FD Txed	605	8	0	1	3	0	13	2
6.05893	HARQ FD Txed	605	8	0	1	1	0	13	2
6.05907	DL DCI Rxed	605	9	0	1	3	0	15	2
6.05907	DL DCI Rxed	605	9	0	1	4	0	15	2
6.05993	HARQ FD Txed	605	9	0	1	4	0	12	2
6.05993	HARQ FD Txed	605	9	0	1	3	0	12	2
6.06007	DL DCI Rxed	606	0	0	1	1	0	14	2
6.06007	DL DCI Rxed	606	0	0	1	2	0	14	2
6.06007	DL DCI Rxed	606	0	0	1	3	0	14	2
6.06007	DL DCI Rxed	606	0	0	1	4	0	14	2
6.06093	HARQ FD Txed	606	0	0	1	2	0	15	2
6.06093	HARQ FD Txed	606	0	0	1	1	0	15	2
6.06093	HARQ FD Txed	606	0	0	1	4	0	11	2
6.06093	HARQ FD Txed	606	0	0	1	3	0	11	2
6.06107	DL DCI Rxed	606	1	0	1	3	0	13	2
6.06107	DL DCI Rxed	606	1	0	1	4	0	13	2
6.06193	HARQ FD Txed	606	1	0	1	4	0	15	2
6.06193	HARQ FD Txed	606	1	0	1	3	0	15	2
6.06207	DL DCI Rxed	606	2	0	1	1	0	13	2
6.06207	DL DCI Rxed	606	2	0	1	2	0	13	2
6.06207	DL DCI Rxed	606	2	0	1	3	0	12	2
6.06207	DL DCI Rxed	606	2	0	1	4	0	12	2
6.06293	HARQ FD Txed	606	2	0	1	2	0	14	2
6.06293	HARQ FD Txed	606	2	0	1	1	0	14	2
6.06293	HARQ FD Txed	606	2	0	1	4	0	14	2
6.06293	HARQ FD Txed	606	2	0	1	3	0	14	2
6.06307	DL DCI Rxed	606	3	0	1	3	0	11	2
6.06307	DL DCI Rxed	606	3	0	1	4	0	11	2
6.06393	HARQ FD Txed	606	3	0	1	4	0	13	2
6.06393	HARQ FD Txed	606	3	0	1	3	0	13	2
6.06407	DL DCI Rxed	606	4	0	1	1	0	15	2
6.06407	DL DCI Rxed	606	4	0	1	2	0	15	2
6.06407	DL DCI Rxed	606	4	0	1	3	0	15	2
6.06407	DL DCI Rxed	606	4	0	1	4	0	15	2
6.06493	HARQ FD Txed	606	4	0	1	2	0	13	2
6.06493	HARQ FD Txed	606	4	0	1	1	0	13	2
6.06493	HARQ FD Txed	606	4	0	1	4	0	12	2
6.06493	HARQ FD Txed	606	4	0	1	3	0	12	2
6.06507	DL DCI Rxed	606	5	0	1	3	0	14	2
6.06507	DL DCI Rxed	606	5	0	1	4	0	14	2
6.06593	HARQ FD Txed	606	5	0	1	4	0	11	2
6.06593	HARQ FD Txed	606	5	0	1	3	0	11	2
6.06607	DL DCI Rxed	606	6	0	1	1	0	14	2
6.06607	DL DCI Rxed	606	6	0	1	2	0	14	2
6.06607	DL DCI Rxed	606	6	0	1	3	0	13	2
6.06607	DL DCI Rxed	606	6	0	1	4	0	13	2
6.06693	HARQ FD Txed	606	6	0	1	2	0	15	2
6.06693	HARQ FD Txed	606	6	0	1	1	0	15	2
6.06693	HARQ FD Txed	606	6	0	1	4	0	15	2
6.06693	HARQ FD Txed	606	6	0	1	3	0	15	2
6.06707	DL DCI Rxed	606	7	0	1	3	0	12	2
6.06707	DL DCI Rxed	606	7	0	1	4	0	12	2
6.06793	HARQ FD Txed	606	7	0	1	4	0	14	2
6.06793	HARQ FD Txed	606	7	0	1	3	0	14	2
6.06807	DL DCI Rxed	606	8	0	1	1	0	13	2
6.06807	DL DCI Rxed	606	8	0	1	2	0	13	2
6.06807	DL DCI Rxed	606	8	0	1	3	0	11	2
6.06807	DL DCI Rxed	606	8	0	1	4	0	11	2
6.06893	HARQ FD Txed	606	8	0	1	2	0	14	2
6.06893	HARQ FD Txed	606	8	0	1	1	0	14	2
6.06893	HARQ FD Txed	606	8	0	1	3	0	13	2
6.06893	HARQ FD Txed	606	8	0	1	4	0	13	2
6.06907	DL DCI Rxed	606	9	0	1	3	0	15	2
6.06907	DL DCI Rxed	606	9	0	1	4	0	15	2
6.06993	HARQ FD Txed	606	9	0	1	4	0	12	2
6.06993	HARQ FD Txed	606	9	0	1	3	0	12	2
6.07007	DL DCI Rxed	607	0	0	1	1	0	15	2
6.07007	DL DCI Rxed	607	0	0	1	2	0	15	2
6.07007	DL DCI Rxed	607	0	0	1	3	0	14	2
6.07007	DL DCI Rxed	607	0	0	1	4	0	14	2
6.07093	HARQ FD Txed	607	0	0	1	2	0	13	2
6.07093	HARQ FD Txed	607	0	0	1	1	0	13	2
6.07093	HARQ FD Txed	607	0	0	1	4	0	11	2
6.07093	HARQ FD Txed	607	0	0	1	3	0	11	2
6.07107	DL DCI Rxed	607	1	0	1	3	0	13	2
6.07107	DL DCI Rxed	607	1	0	1	4	0	13	2
6.07193	HARQ FD Txed	607	1	0	1	4	0	15	2
6.07193	HARQ FD Txed	607	1	0	1	3	0	15	2
6.07207	DL DCI Rxed	607	2	0	1	1	0	14	2
6.07207	DL DCI Rxed	607	2	0	1	2	0	14	2
6.07207	DL DCI Rxed	607	2	0	1	3	0	12	2
6.07207	DL DCI Rxed	607	2	0	1	4	0	12	2
6.07293	HARQ FD Txed	607	2	0	1	2	0	15	2
6.07293	HARQ FD Txed	607	2	0	1	1	0	15	2
6.07293	HARQ FD Txed	607	2	0	1	4	0	14	2
6.07293	HARQ FD Txed	607	2	0	1	3	0	14	2
6.07307	DL DCI Rxed	607	3	0	1	3	0	11	2
6.07307	DL DCI Rxed	607	3	0	1	4	0	11	2
6.07393	HARQ FD Txed	607	3	0	1	4	0	13	2
6.07393	HARQ FD Txed	607	3	0	1	3	0	13	2
6.07407	DL DCI Rxed	607	4	0	1	1	0	13	2
6.07407	DL DCI Rxed	607	4	0	1	2	0	13	2
6.07407	DL DCI Rxed	607	4	0	1	3	0	15	2
6.07407	DL DCI Rxed	607	4	0	1	4	0	15	2
6.07493	HARQ FD Txed	607	4	0	1	2	0	14	2
6.07493	HARQ FD Txed	607	4	0	1	1	0	14	2
6.07493	HARQ FD Txed	607	4	0	1	4	0	12	2
6.07493	HARQ FD Txed	607	4	0	1	3	0	12	2
6.07507	DL DCI Rxed	607	5	0	1	3	0	14	2
6.07507	DL DCI Rxed	607	5	0	1	4	0	14	2
6.07593	HARQ FD Txed	607	5	0	1	4	0	11	2
6.07593	HARQ FD Txed	607	5	0	1	3	0	11	2
6.07607	DL DCI Rxed	607	6	0	1	1	0	15	2
6.07607	DL DCI Rxed	607	6	0	1	2	0	15	2
6.07607	DL DCI Rxed	607	6	0	1	3	0	13	2
6.07607	DL DCI Rxed	607	6	0	1	4	0	13	2
6.07693	HARQ FD Txed	607	6	0	1	2	0	13	2
6.07693	HARQ FD Txed	607	6	0	1	1	0	13	2
6.07693	HARQ FD Txed	607	6	0	1	4	0	15	2
6.07693	HARQ FD Txed	607	6	0	1	3	0	15	2
6.07707	DL DCI Rxed	607	7	0	1	3	0	12	2
6.07707	DL DCI Rxed	607	7	0	1	4	0	12	2
6.07793	HARQ FD Txed	607	7	0	1	4	0	14	2
6.07793	HARQ FD Txed	607	7	0	1	3	0	14	2
6.07807	DL DCI Rxed	607	8	0	1	1	0	14	2
6.07807	DL DCI Rxed	607	8	0	1	2	0	14	2
6.07807	DL DCI Rxed	607	8	0	1	3	0	11	2
6.07807	DL DCI Rxed	607	8	0	1	4	0	11	2
6.07893	HARQ FD Txed	607	8	0	1	2	0	15	2
6.07893	HARQ FD Txed	607	8	0	1	1	0	15	2
6.07893	HARQ FD Txed	607	8	0	1	4	0	13	2
6.07893	HARQ FD Txed	607	8	0	1	3	0	13	2
6.07907	DL DCI Rxed	607	9	0	1	3	0	15	2
6.07907	DL DCI Rxed	607	9	0	1	4	0	15	2
6.07993	HARQ FD Txed	607	9	0	1	4	0	12	2
6.07993	HARQ FD Txed	607	9	0	1	3	0	12	2
6.08007	DL DCI Rxed	608	0	0	1	1	0	13	2
6.08007	DL DCI Rxed	608	0	0	1	2	0	13	2
6.08007	DL DCI Rxed	608	0	0	1	3	0	14	2
6.08007	DL DCI Rxed	608	0	0	1	4	0	14	2
6.08093	HARQ FD Txed	608	0	0	1	2	0	14	2
6.08093	HARQ FD Txed	608	0	0	1	1	0	14	2
6.08093	HARQ FD Txed	608	0	0	1	4	0	11	2
6.08093	HARQ FD Txed	608	0	0	1	3	0	11	2
6.08107	DL DCI Rxed	608	1	0	1	3	0	13	2
6.08107	DL DCI Rxed	608	1	0	1	4	0	13	2
6.08193	HARQ FD Txed	608	1	0	1	4	0	15	2
6.08193	HARQ FD Txed	608	1	0	1	3	0	15	2
6.08207	DL DCI Rxed	608	2	0	1	1	0	15	2
6.08207	DL DCI Rxed	608	2	0	1	2	0	15	2
6.08207	DL DCI Rxed	608	2	0	1	3	0	12	2
6.08207	DL DCI Rxed	608	2	0	1	4	0	12	2
6.08293	HARQ FD Txed	608	2	0	1	2	0	13	2
6.08293	HARQ FD Txed	608	2	0	1	1	0	13	2
6.08293	HARQ FD Txed	608	2	0	1	4	0	14	2
6.08293	HARQ FD Txed	608	2	0	1	3	0	14	2
6.08307	DL DCI Rxed	608	3	0	1	3	0	11	2
6.08307	DL DCI Rxed	608	3	0	1	4	0	11	2
6.08393	HARQ FD Txed	608	3	0	1	4	0	13	2
6.08393	HARQ FD Txed	608	3	0	1	3	0	13	2
6.08407	DL DCI Rxed	608	4	0	1	1	0	14	2
