Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
4.30593	1	0	1	-94.5937
4.30593	1	0	4	-101.625
4.30593	1	0	3	-92.5786
4.30693	1	0	5	-101.575
4.30693	1	0	6	-95.574
4.30693	1	0	2	-93.4585
4.30693	1	0	1	-94.5937
4.30693	1	0	4	-101.625
4.30693	1	0	3	-92.5786
4.30793	1	0	5	-101.575
4.30793	1	0	6	-95.574
4.30793	1	0	2	-93.4585
4.30793	1	0	1	-94.5937
4.30793	1	0	4	-101.625
4.30793	1	0	3	-92.5786
4.30886	1	0	4	-101.625
4.30893	1	0	2	-93.4585
4.30893	1	0	1	-94.5937
4.30893	1	0	3	-92.5786
4.30893	1	0	4	-101.625
4.30986	1	0	3	-92.5786
4.30993	1	0	2	-93.4585
4.30993	1	0	1	-94.5937
4.30993	1	0	4	-101.625
4.30993	1	0	3	-92.5786
4.31093	1	0	2	-93.4585
4.31093	1	0	1	-94.5937
4.31093	1	0	4	-101.625
4.31093	1	0	3	-92.5786
4.31193	1	0	2	-93.4585
4.31193	1	0	1	-94.5937
4.31193	1	0	4	-101.625
4.31193	1	0	3	-92.5786
4.31293	1	0	2	-93.4585
4.31293	1	0	1	-94.5937
4.31293	1	0	4	-101.625
4.31293	1	0	3	-92.5786
4.31393	1	0	2	-93.4585
4.31393	1	0	1	-94.5937
4.31393	1	0	4	-101.625
4.31393	1	0	3	-92.5786
4.31493	1	0	2	-93.4585
4.31493	1	0	1	-94.5937
4.31493	1	0	4	-101.625
4.31493	1	0	3	-92.5786
4.31593	1	0	2	-93.4585
4.31593	1	0	1	-94.5937
4.31593	1	0	4	-101.625
4.31593	1	0	3	-92.5786
4.31693	1	0	2	-93.4585
4.31693	1	0	1	-94.5937
4.31693	1	0	4	-101.625
4.31693	1	0	3	-92.5786
4.31793	1	0	2	-93.4585
4.31793	1	0	1	-94.5937
4.31793	1	0	4	-101.625
4.31793	1	0	3	-92.5786
4.31893	1	0	2	-93.4585
4.31893	1	0	1	-94.5937
4.31893	1	0	4	-101.625
4.31893	1	0	3	-92.5786
4.31993	1	0	2	-93.4585
4.31993	1	0	1	-94.5937
4.31993	1	0	4	-101.625
4.31993	1	0	3	-92.5786
4.32093	1	0	2	-93.4585
4.32093	1	0	1	-94.5937
4.32093	1	0	4	-101.625
4.32093	1	0	3	-92.5786
4.32193	1	0	2	-93.4585
4.32193	1	0	1	-94.5937
4.32193	1	0	4	-101.625
4.32193	1	0	3	-92.5786
4.32293	1	0	2	-93.4585
4.32293	1	0	1	-94.5937
4.32293	1	0	4	-101.625
4.32293	1	0	3	-92.5786
4.32393	1	0	2	-93.4585
4.32393	1	0	1	-94.5937
4.32393	1	0	4	-101.625
4.32393	1	0	3	-92.5786
4.32493	1	0	2	-93.4585
4.32493	1	0	1	-94.5937
4.32493	1	0	4	-101.625
4.32493	1	0	3	-92.5786
4.32593	1	0	2	-93.4585
4.32593	1	0	1	-94.5937
4.32593	1	0	4	-101.625
4.32593	1	0	3	-92.5786
4.32693	1	0	2	-93.4585
4.32693	1	0	1	-94.5937
4.32693	1	0	4	-101.625
4.32693	1	0	3	-92.5786
4.32793	1	0	2	-93.4585
4.32793	1	0	1	-94.5937
4.32793	1	0	4	-101.625
4.32793	1	0	3	-92.5786
4.32893	1	0	2	-93.4585
4.32893	1	0	1	-94.5937
4.32893	1	0	4	-101.625
4.32893	1	0	3	-92.5786
4.32993	1	0	2	-93.4585
4.32993	1	0	1	-94.5937
4.32993	1	0	4	-101.625
4.32993	1	0	3	-92.5786
4.33093	1	0	2	-93.4585
4.33093	1	0	1	-94.5937
4.33093	1	0	4	-101.625
4.33093	1	0	3	-92.5786
4.33193	1	0	2	-93.4585
4.33193	1	0	1	-94.5937
4.33193	1	0	4	-101.625
4.33193	1	0	3	-92.5786
4.33293	1	0	2	-93.4585
4.33293	1	0	1	-94.5937
4.33293	1	0	4	-101.625
4.33293	1	0	3	-92.5786
4.33393	1	0	2	-93.4585
4.33393	1	0	1	-94.5937
4.33393	1	0	4	-101.625
4.33393	1	0	3	-92.5786
4.33493	1	0	2	-93.4585
4.33493	1	0	1	-94.5937
4.33493	1	0	4	-101.625
4.33493	1	0	3	-92.5786
4.33593	1	0	2	-93.4585
4.33593	1	0	1	-94.5937
4.33593	1	0	4	-101.625
4.33593	1	0	3	-92.5786
4.33693	1	0	2	-93.4585
4.33693	1	0	1	-94.5937
4.33693	1	0	4	-101.625
4.33693	1	0	3	-92.5786
4.33793	1	0	2	-93.4585
4.33793	1	0	1	-94.5937
4.33793	1	0	4	-101.625
4.33793	1	0	3	-92.5786
4.33886	1	0	2	-93.4585
4.33893	1	0	1	-94.5937
4.33893	1	0	4	-101.625
4.33893	1	0	3	-92.5786
4.33893	1	0	2	-93.4585
4.33993	1	0	1	-94.5937
4.33993	1	0	2	-93.4585
4.33993	1	0	4	-101.625
4.33993	1	0	3	-92.5786
4.34093	1	0	1	-94.5937
4.34093	1	0	2	-93.4585
4.34093	1	0	4	-101.625
4.34093	1	0	3	-92.5786
4.34193	1	0	1	-94.5937
4.34193	1	0	2	-93.4585
4.34193	1	0	4	-101.625
4.34193	1	0	3	-92.5786
4.34293	1	0	1	-94.5937
4.34293	1	0	2	-93.4585
4.34293	1	0	4	-101.625
4.34293	1	0	3	-92.5786
4.34393	1	0	1	-94.5937
4.34393	1	0	2	-93.4585
4.34393	1	0	4	-101.625
4.34393	1	0	3	-92.5786
4.34493	1	0	1	-94.5937
4.34493	1	0	2	-93.4585
4.34493	1	0	4	-101.625
4.34493	1	0	3	-92.5786
4.34593	1	0	1	-94.5937
4.34593	1	0	2	-93.4585
4.34593	1	0	4	-101.625
4.34593	1	0	3	-92.5786
4.34693	1	0	1	-94.5937
4.34693	1	0	2	-93.4585
4.34693	1	0	4	-101.625
4.34693	1	0	3	-92.5786
4.34786	1	0	5	-101.575
4.34793	1	0	1	-94.5937
4.34793	1	0	2	-93.4585
4.34793	1	0	4	-101.625
4.34793	1	0	3	-92.5786
4.34886	1	0	6	-95.574
4.34893	1	0	1	-94.5937
4.34893	1	0	2	-93.4585
4.34893	1	0	4	-101.625
4.34893	1	0	3	-92.5786
4.34993	1	0	1	-94.5937
4.34993	1	0	2	-93.4585
4.34993	1	0	4	-101.625
4.34993	1	0	3	-92.5786
4.35093	1	0	1	-94.5937
4.35093	1	0	2	-93.4585
4.35093	1	0	4	-101.625
4.35093	1	0	3	-92.5786
4.35193	1	0	1	-94.5937
4.35193	1	0	2	-93.4585
4.35193	1	0	4	-101.625
4.35193	1	0	3	-92.5786
4.35293	1	0	1	-94.5937
4.35293	1	0	2	-93.4585
4.35293	1	0	4	-101.625
4.35293	1	0	3	-92.5786
4.35393	1	0	1	-94.5937
4.35393	1	0	2	-93.4585
4.35393	1	0	4	-101.625
4.35393	1	0	3	-92.5786
4.35493	1	0	1	-94.5937
4.35493	1	0	2	-93.4585
4.35493	1	0	4	-101.625
4.35493	1	0	3	-92.5786
4.35593	1	0	1	-94.5937
4.35593	1	0	2	-93.4585
4.35593	1	0	4	-101.625
4.35593	1	0	3	-92.5786
4.35693	1	0	5	-101.575
4.35693	1	0	6	-95.574
4.35693	1	0	1	-94.5937
4.35693	1	0	2	-93.4585
4.35693	1	0	4	-101.625
4.35693	1	0	3	-92.5786
4.35793	1	0	5	-101.575
4.35793	1	0	6	-95.574
4.35793	1	0	1	-94.5937
4.35793	1	0	2	-93.4585
4.35793	1	0	4	-101.625
4.35793	1	0	3	-92.5786
4.35893	1	0	1	-94.5937
4.35893	1	0	2	-93.4585
4.35893	1	0	4	-101.625
4.35893	1	0	3	-92.5786
4.35993	1	0	1	-94.5937
4.35993	1	0	2	-93.4585
4.35993	1	0	4	-101.625
4.35993	1	0	3	-92.5786
4.36093	1	0	1	-94.5937
4.36093	1	0	2	-93.4585
4.36093	1	0	4	-101.625
4.36093	1	0	3	-92.5786
4.36193	1	0	1	-94.5937
4.36193	1	0	2	-93.4585
4.36193	1	0	4	-101.625
4.36193	1	0	3	-92.5786
4.36293	1	0	1	-94.5937
4.36293	1	0	2	-93.4585
4.36293	1	0	4	-101.625
4.36293	1	0	3	-92.5786
4.36393	1	0	1	-94.5937
4.36393	1	0	2	-93.4585
4.36393	1	0	4	-101.625
4.36393	1	0	3	-92.5786
4.36493	1	0	1	-94.5937
4.36493	1	0	2	-93.4585
4.36493	1	0	4	-101.625
4.36493	1	0	3	-92.5786
4.36593	1	0	1	-94.5937
4.36593	1	0	2	-93.4585
4.36593	1	0	4	-101.625
4.36593	1	0	3	-92.5786
4.36693	1	0	1	-94.5937
4.36693	1	0	2	-93.4585
4.36693	1	0	4	-101.625
4.36693	1	0	3	-92.5786
4.36793	1	0	1	-94.5937
4.36793	1	0	2	-93.4585
4.36793	1	0	4	-101.625
4.36793	1	0	3	-92.5786
4.36893	1	0	1	-94.5937
4.36893	1	0	2	-93.4585
4.36893	1	0	4	-101.625
4.36893	1	0	3	-92.5786
4.36993	1	0	1	-94.5937
4.36993	1	0	2	-93.4585
4.36993	1	0	4	-101.625
4.36993	1	0	3	-92.5786
4.37093	1	0	1	-94.5937
4.37093	1	0	2	-93.4585
4.37093	1	0	4	-101.625
4.37093	1	0	3	-92.5786
4.37193	1	0	1	-94.5937
4.37193	1	0	2	-93.4585
4.37193	1	0	4	-101.625
4.37193	1	0	3	-92.5786
4.37293	1	0	1	-94.5937
4.37293	1	0	2	-93.4585
4.37293	1	0	4	-101.625
4.37293	1	0	3	-92.5786
4.37393	1	0	1	-94.5937
4.37393	1	0	2	-93.4585
4.37393	1	0	4	-101.625
4.37393	1	0	3	-92.5786
4.37493	1	0	1	-94.5937
4.37493	1	0	2	-93.4585
4.37493	1	0	4	-101.625
4.37493	1	0	3	-92.5786
4.37593	1	0	1	-94.5937
4.37593	1	0	2	-93.4585
4.37593	1	0	4	-101.625
4.37593	1	0	3	-92.5786
4.37693	1	0	1	-94.5937
4.37693	1	0	2	-93.4585
4.37693	1	0	4	-101.625
4.37693	1	0	3	-92.5786
4.37786	1	0	1	-94.5937
4.37793	1	0	2	-93.4585
4.37793	1	0	4	-101.625
4.37793	1	0	3	-92.5786
4.37793	1	0	1	-94.5937
4.37893	1	0	2	-93.4585
4.37893	1	0	4	-101.625
4.37893	1	0	3	-92.5786
4.37893	1	0	1	-94.5937
4.37993	1	0	2	-93.4585
4.37993	1	0	1	-94.5937
4.37993	1	0	4	-101.625
4.37993	1	0	3	-92.5786
4.38093	1	0	2	-93.4585
4.38093	1	0	1	-94.5937
4.38093	1	0	4	-101.625
4.38093	1	0	3	-92.5786
4.38193	1	0	2	-93.4585
4.38193	1	0	1	-94.5937
4.38193	1	0	4	-101.625
4.38193	1	0	3	-92.5786
4.38293	1	0	2	-93.4585
4.38293	1	0	1	-94.5937
4.38293	1	0	4	-101.625
4.38293	1	0	3	-92.5786
4.38393	1	0	2	-93.4585
4.38393	1	0	1	-94.5937
4.38393	1	0	4	-101.625
4.38393	1	0	3	-92.5786
4.38493	1	0	2	-93.4585
4.38493	1	0	1	-94.5937
4.38493	1	0	4	-101.625
4.38493	1	0	3	-92.5786
4.38593	1	0	2	-93.4585
4.38593	1	0	1	-94.5937
4.38593	1	0	4	-101.625
4.38593	1	0	3	-92.5786
4.38693	1	0	2	-93.4585
4.38693	1	0	1	-94.5937
4.38693	1	0	4	-101.625
4.38693	1	0	3	-92.5786
4.38793	1	0	2	-93.4585
4.38793	1	0	1	-94.5937
4.38793	1	0	4	-101.625
4.38793	1	0	3	-92.5786
4.38886	1	0	4	-101.625
4.38893	1	0	2	-93.4585
4.38893	1	0	1	-94.5937
4.38893	1	0	3	-92.5786
4.38893	1	0	4	-101.625
4.38986	1	0	3	-92.5786
4.38993	1	0	2	-93.4585
4.38993	1	0	1	-94.5937
4.38993	1	0	4	-101.625
4.38993	1	0	3	-92.5786
4.39093	1	0	2	-93.4585
4.39093	1	0	1	-94.5937
4.39093	1	0	4	-101.625
4.39093	1	0	3	-92.5786
4.39193	1	0	2	-93.4585
4.39193	1	0	1	-94.5937
4.39193	1	0	4	-101.625
4.39193	1	0	3	-92.5786
4.39293	1	0	2	-93.4585
4.39293	1	0	1	-94.5937
4.39293	1	0	4	-101.625
4.39293	1	0	3	-92.5786
4.39393	1	0	2	-93.4585
4.39393	1	0	1	-94.5937
4.39393	1	0	4	-101.625
4.39393	1	0	3	-92.5786
4.39493	1	0	2	-93.4585
4.39493	1	0	1	-94.5937
4.39493	1	0	4	-101.625
4.39493	1	0	3	-92.5786
4.39593	1	0	2	-93.4585
4.39593	1	0	1	-94.5937
4.39593	1	0	4	-101.625
4.39593	1	0	3	-92.5786
4.39693	1	0	2	-93.4585
4.39693	1	0	1	-94.5937
4.39693	1	0	4	-101.625
4.39693	1	0	3	-92.5786
4.39793	1	0	2	-93.4585
4.39793	1	0	1	-94.5937
4.39793	1	0	4	-101.625
4.39793	1	0	3	-92.5786
4.39893	1	0	2	-93.4585
4.39893	1	0	1	-94.5937
4.39893	1	0	4	-101.625
4.39893	1	0	3	-92.5786
4.39993	1	0	2	-93.4585
4.39993	1	0	1	-94.5937
4.39993	1	0	4	-101.625
4.39993	1	0	3	-92.5786
4.40093	1	0	2	-93.4585
4.40093	1	0	1	-94.5937
4.40093	1	0	4	-101.625
4.40093	1	0	3	-92.5786
4.40193	1	0	2	-93.4585
4.40193	1	0	1	-94.5937
4.40193	1	0	4	-101.625
4.40193	1	0	3	-92.5786
4.40293	1	0	2	-93.4585
4.40293	1	0	1	-94.5937
4.40293	1	0	4	-101.625
4.40293	1	0	3	-92.5786
4.40393	1	0	2	-93.4585
4.40393	1	0	1	-94.5937
4.40393	1	0	4	-101.625
4.40393	1	0	3	-92.5786
4.40493	1	0	2	-93.4585
4.40493	1	0	1	-94.5937
4.40493	1	0	4	-101.625
4.40493	1	0	3	-92.5786
4.40593	1	0	2	-93.4585
4.40593	1	0	1	-94.5937
4.40593	1	0	4	-101.625
4.40593	1	0	3	-92.5786
