time(s)	cellId	rnti	lcid	packetSize
0.623	1	3	3	132
0.624	1	4	3	132
0.624	1	3	3	132
0.624	1	2	3	1432
0.624	1	1	3	1432
0.625	1	4	3	132
0.625	1	3	3	132
0.626	1	4	3	132
0.626	1	3	3	132
0.626	1	2	3	1432
0.626	1	1	3	1432
0.627	1	4	3	132
0.627	1	3	3	132
0.628	1	4	3	132
0.628	1	3	3	132
0.628	1	2	3	1432
0.628	1	1	3	1432
0.629	1	4	3	132
0.629	1	3	3	132
0.63	1	4	3	132
0.63	1	3	3	132
0.63	1	2	3	1432
0.63	1	1	3	1432
0.631	1	4	3	132
0.631	1	3	3	132
0.632	1	4	3	132
0.632	1	3	3	132
0.632	1	2	3	1432
0.632	1	1	3	1432
0.633	1	4	3	132
0.633	1	3	3	132
0.634	1	4	3	132
0.634	1	3	3	132
0.634	1	2	3	1432
0.634	1	1	3	1432
0.635	1	4	3	132
0.635	1	3	3	132
0.636	1	4	3	132
0.636	1	3	3	132
0.636	1	2	3	1432
0.636	1	1	3	1432
0.637	1	4	3	132
0.637	1	3	3	132
0.638	1	4	3	132
0.638	1	3	3	132
0.638	1	2	3	1432
0.638	1	1	3	1432
0.639	1	4	3	132
0.639	1	3	3	132
0.64	1	4	3	132
0.64	1	3	3	132
0.64	1	2	3	1432
0.64	1	1	3	1432
0.641	1	4	3	132
0.641	1	3	3	132
0.642	1	4	3	132
0.642	1	3	3	132
0.642	1	2	3	1432
0.642	1	1	3	1432
0.643	1	4	3	132
0.643	1	3	3	132
0.644	1	4	3	132
0.644	1	3	3	132
0.644	1	2	3	1432
0.644	1	1	3	1432
0.645	1	4	3	132
0.645	1	3	3	132
0.646	1	4	3	132
0.646	1	3	3	132
0.646	1	2	3	1432
0.646	1	1	3	1432
0.647	1	4	3	132
0.647	1	3	3	132
0.648	1	4	3	132
0.648	1	3	3	132
0.648	1	2	3	1432
0.648	1	1	3	1432
0.649	1	4	3	132
0.649	1	3	3	132
0.65	1	4	3	132
0.65	1	3	3	132
0.65	1	2	3	1432
0.65	1	1	3	1432
0.651	1	4	3	132
0.651	1	3	3	132
0.652	1	6	3	82
0.652	1	5	3	82
0.652	1	4	3	132
0.652	1	3	3	132
0.652	1	2	3	1432
0.652	1	1	3	1432
0.653	1	4	3	132
0.653	1	3	3	132
0.654	1	4	3	132
0.654	1	3	3	132
0.654	1	2	3	1432
0.654	1	1	3	1432
0.655	1	4	3	132
0.655	1	3	3	132
0.656	1	4	3	132
0.656	1	3	3	132
0.656	1	2	3	1432
0.656	1	1	3	1432
0.657	1	4	3	132
0.657	1	3	3	132
0.658	1	4	3	132
0.658	1	3	3	132
0.658	1	2	3	1432
0.658	1	1	3	1432
0.659	1	4	3	132
0.659	1	3	3	132
0.66	1	4	3	132
0.66	1	3	3	132
0.66	1	2	3	1432
0.66	1	1	3	1432
0.661	1	4	3	132
0.661	1	3	3	132
0.662	1	4	3	132
0.662	1	3	3	132
0.662	1	2	3	1432
0.662	1	1	3	1432
0.663	1	4	3	132
0.663	1	3	3	132
0.664	1	4	3	132
0.664	1	3	3	132
0.664	1	2	3	1432
0.664	1	1	3	1432
0.665	1	4	3	132
0.665	1	3	3	132
0.666	1	4	3	132
0.666	1	3	3	132
0.666	1	2	3	1432
0.666	1	1	3	1432
0.667	1	4	3	132
0.667	1	3	3	132
0.668	1	4	3	132
0.668	1	3	3	132
0.668	1	2	3	1432
0.668	1	1	3	1432
0.669	1	4	3	132
0.669	1	3	3	132
0.67	1	4	3	132
0.67	1	3	3	132
0.67	1	2	3	1432
0.67	1	1	3	1432
0.671	1	4	3	132
0.671	1	3	3	132
0.672	1	4	3	132
0.672	1	3	3	132
0.672	1	2	3	1432
0.672	1	1	3	1432
0.673	1	4	3	132
0.673	1	3	3	132
0.674	1	4	3	132
0.674	1	3	3	132
0.674	1	2	3	1432
0.674	1	1	3	1432
0.675	1	4	3	132
0.675	1	3	3	132
0.676	1	4	3	132
0.676	1	3	3	132
0.676	1	2	3	1432
0.676	1	1	3	1432
0.677	1	4	3	132
0.677	1	3	3	132
0.678	1	4	3	132
0.678	1	3	3	132
0.678	1	2	3	1432
0.678	1	1	3	1432
0.679	1	4	3	132
0.679	1	3	3	132
0.68	1	4	3	132
0.68	1	3	3	132
