% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0402143	1	2	6	4.04598e-10	852967	0
0.0402143	1	3	2	2.44804e-10	516092	0
0.0402143	1	4	4	1.47835e-10	311664	0
0.0402143	1	5	5	9.515e-11	200594	0
0.0402143	1	6	3	6.52689e-11	137599	0
0.0412143	1	1	1	5.19657e-10	1.09553e+06	0
0.0412143	1	2	6	4.04539e-10	852843	0
0.0412143	1	3	2	2.44761e-10	516002	0
0.0412143	1	4	4	1.47812e-10	311615	0
0.0412143	1	5	5	9.51371e-11	200567	0
0.0412143	1	6	3	6.52613e-11	137583	0
0.0422143	1	1	1	5.19655e-10	1.09553e+06	0
0.0422143	1	2	6	4.0448e-10	852719	0
0.0422143	1	3	2	2.44718e-10	515911	0
0.0422143	1	4	4	1.47789e-10	311566	0
0.0422143	1	5	5	9.51242e-11	200539	0
0.0422143	1	6	3	6.52537e-11	137567	0
0.0432143	1	1	1	5.19654e-10	1.09553e+06	0
0.0432143	1	2	6	4.04421e-10	852594	0
0.0432143	1	3	2	2.44675e-10	515821	0
0.0432143	1	4	4	1.47765e-10	311516	0
0.0432143	1	5	5	9.51113e-11	200512	0
0.0432143	1	6	3	6.52461e-11	137551	0
0.0442143	1	1	1	5.19653e-10	1.09552e+06	0
0.0442143	1	2	6	4.04362e-10	852470	0
0.0442143	1	3	2	2.44632e-10	515731	0
0.0442143	1	4	4	1.47742e-10	311467	0
0.0442143	1	5	5	9.50984e-11	200485	0
0.0442143	1	6	3	6.52386e-11	137535	0
0.0452143	1	1	1	5.19651e-10	1.09552e+06	0
0.0452143	1	2	6	4.04303e-10	852346	0
0.0452143	1	3	2	2.4459e-10	515640	0
0.0452143	1	4	4	1.47718e-10	311418	0
0.0452143	1	5	5	9.50855e-11	200458	0
0.0452143	1	6	3	6.5231e-11	137519	0
0.0462143	1	1	1	5.1965e-10	1.09552e+06	0
0.0462143	1	2	6	4.04244e-10	852222	0
0.0462143	1	3	2	2.44547e-10	515550	0
0.0462143	1	4	4	1.47695e-10	311369	0
0.0462143	1	5	5	9.50726e-11	200431	0
0.0462143	1	6	3	6.52234e-11	137503	0
0.0472143	1	1	1	5.19648e-10	1.09551e+06	0
0.0472143	1	2	6	4.04185e-10	852097	0
0.0472143	1	3	2	2.44504e-10	515460	0
0.0472143	1	4	4	1.47672e-10	311319	0
0.0472143	1	5	5	9.50597e-11	200403	0
0.0472143	1	6	3	6.52158e-11	137487	0
0.0482143	1	1	1	5.19647e-10	1.09551e+06	0
0.0482143	1	2	6	4.04126e-10	851973	0
0.0482143	1	3	2	2.44461e-10	515369	0
0.0482143	1	4	4	1.47648e-10	311270	0
0.0482143	1	5	5	9.50468e-11	200376	0
0.0482143	1	6	3	6.52082e-11	137471	0
0.0492143	1	1	1	5.19645e-10	1.09551e+06	0
0.0492143	1	2	6	4.04067e-10	851849	0
0.0492143	1	3	2	2.44418e-10	515279	0
0.0492143	1	4	4	1.47625e-10	311221	0
0.0492143	1	5	5	9.50339e-11	200349	0
0.0492143	1	6	3	6.52007e-11	137455	0
0.0502143	1	1	1	5.19644e-10	1.0955e+06	0
0.0502143	1	2	6	4.04008e-10	851724	0
0.0502143	1	3	2	2.44376e-10	515189	0
0.0502143	1	4	4	1.47602e-10	311172	0
0.0502143	1	5	5	9.5021e-11	200322	0
0.0502143	1	6	3	6.51931e-11	137439	0
0.0512143	1	1	1	5.19642e-10	1.0955e+06	0
0.0512143	1	2	6	4.03949e-10	851600	0
0.0512143	1	3	2	2.44333e-10	515099	0
0.0512143	1	4	4	1.47578e-10	311122	0
0.0512143	1	5	5	9.50081e-11	200295	0
0.0512143	1	6	3	6.51855e-11	137423	0
0.0522143	1	1	1	5.1964e-10	1.0955e+06	0
0.0522143	1	2	6	4.0389e-10	851476	0
0.0522143	1	3	2	2.4429e-10	515009	0
