% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1289	1	2	6	0	0	28	2196	0	1	1	0
1290	1	4	4	0	0	28	2196	0	1	1	0
1291	1	4	4	0	0	28	2196	0	1	1	0
1292	1	3	2	0	0	28	2196	0	1	1	0
1294	1	4	4	0	0	28	2196	0	1	1	0
1295	1	1	1	0	0	28	2196	0	1	1	0
1296	1	3	2	0	0	28	2196	0	1	1	0
1297	1	4	4	0	0	28	2196	0	1	1	0
1298	1	3	2	0	0	28	2196	0	1	1	0
1299	1	3	2	0	0	28	2196	0	1	1	0
1300	1	4	4	0	0	28	2196	0	1	1	0
1301	1	2	6	0	0	28	2196	0	1	1	0
1302	1	4	4	0	0	28	2196	0	1	1	0
1303	1	3	2	0	0	28	2196	0	1	1	0
1304	1	3	2	0	0	28	2196	0	1	1	0
1305	1	1	1	0	0	28	2196	0	1	1	0
1306	1	4	4	0	0	28	2196	0	1	1	0
1307	1	3	2	0	0	28	2196	0	1	1	0
1308	1	2	6	0	0	28	2196	0	1	1	0
1309	1	4	4	0	0	28	2196	0	1	1	0
1310	1	3	2	0	0	28	2196	0	1	1	0
1311	1	3	2	0	0	28	2196	0	1	1	0
1312	1	4	4	0	0	28	2196	0	1	1	0
1313	1	4	4	0	0	28	2196	0	1	1	0
1314	1	3	2	0	0	28	2196	0	1	1	0
1315	1	1	1	0	0	28	2196	0	1	1	0
1316	1	4	4	0	0	28	2196	0	1	1	0
1317	1	3	2	0	0	28	2196	0	1	1	0
1318	1	4	4	0	0	28	2196	0	1	1	0
1320	1	4	4	0	0	28	2196	0	1	1	0
1321	1	4	4	0	0	28	2196	0	1	1	0
1322	1	4	4	0	0	28	2196	0	1	1	0
1323	1	4	4	0	0	28	2196	0	1	1	0
1324	1	2	6	0	0	28	2196	0	1	1	0
1325	1	1	1	0	0	28	2196	0	1	1	0
1326	1	3	2	0	0	28	2196	0	1	1	0
1327	1	3	2	0	0	28	2196	0	1	1	0
1328	1	3	2	0	0	28	2196	0	1	1	0
1329	1	3	2	0	0	28	2196	0	1	1	0
1330	1	4	4	0	0	28	2196	0	1	1	0
1331	1	2	6	0	0	28	2196	0	1	1	0
1332	1	3	2	0	0	28	2196	0	1	1	0
1333	1	3	2	0	0	28	2196	0	1	1	0
1334	1	4	4	0	0	28	2196	0	1	1	0
1335	1	1	1	0	0	28	2196	0	1	1	0
1336	1	4	4	0	0	28	2196	0	1	1	0
1337	1	3	2	0	0	28	2196	0	1	1	0
1338	1	3	2	0	0	28	2196	0	1	1	0
1339	1	4	4	0	0	28	2196	0	1	1	0
1340	1	2	6	0	0	28	2196	0	1	1	0
1341	1	4	4	0	0	28	2196	0	1	1	0
1342	1	3	2	0	0	28	2196	0	1	1	0
1343	1	4	4	0	0	28	2196	0	1	1	0
1344	1	3	2	0	0	28	2196	0	1	1	0
1345	1	1	1	0	0	28	2196	0	1	1	0
1346	1	4	4	0	0	28	2196	0	1	1	0
1347	1	3	2	0	0	28	2196	0	1	1	0
1348	1	2	6	0	0	28	2196	0	1	1	0
1349	1	4	4	0	0	28	2196	0	1	1	0
1350	1	3	2	0	0	28	2196	0	1	1	0
1351	1	4	4	0	0	28	2196	0	1	1	0
1354	1	3	2	0	0	28	2196	0	1	1	0
1355	1	1	1	0	0	28	2196	0	1	1	0
1356	1	3	2	0	0	28	2196	0	1	1	0
1357	1	4	4	0	0	28	2196	0	1	1	0
1358	1	4	4	0	0	28	2196	0	1	1	0
1359	1	3	2	0	0	28	2196	0	1	1	0
1360	1	4	4	0	0	28	2196	0	1	1	0
1361	1	2	6	0	0	28	2196	0	1	1	0
