time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.578957	1	3	3	130	0.00395336
0.578957	1	4	3	130	0.00395322
0.580029	1	3	3	130	0.00402828
0.580029	1	4	3	130	0.00402815
0.581029	1	1	3	1430	0.0040261
0.581029	1	2	3	1430	0.00402492
0.581029	1	3	3	130	0.00402479
0.581029	1	4	3	130	0.00402465
0.582029	1	3	3	130	0.00402828
0.582029	1	4	3	130	0.00402815
0.583029	1	1	3	1430	0.0040261
0.583029	1	2	3	1430	0.00402492
0.583029	1	3	3	130	0.00402479
0.583029	1	4	3	130	0.00402465
0.584029	1	3	3	130	0.00402828
0.584029	1	4	3	130	0.00402815
0.585029	1	1	3	1430	0.0040261
0.585029	1	2	3	1430	0.00402492
0.585029	1	3	3	130	0.00402479
0.585029	1	4	3	130	0.00402465
0.586029	1	3	3	130	0.00402828
0.586029	1	4	3	130	0.00402815
0.587029	1	1	3	1430	0.0040261
0.587029	1	2	3	1430	0.00402492
0.587029	1	3	3	130	0.00402479
0.587029	1	4	3	130	0.00402465
0.587957	1	3	3	130	0.00395685
0.587957	1	4	3	130	0.00395672
0.588957	1	1	3	1430	0.00395467
0.588957	1	2	3	1430	0.00395349
0.588957	1	3	3	130	0.00395336
0.588957	1	4	3	130	0.00395322
0.590029	1	3	3	130	0.00402828
0.590029	1	4	3	130	0.00402815
0.591029	1	1	3	1430	0.0040261
0.591029	1	2	3	1430	0.00402492
0.591029	1	3	3	130	0.00402479
0.591029	1	4	3	130	0.00402465
0.592029	1	3	3	130	0.00402828
0.592029	1	4	3	130	0.00402815
0.593029	1	1	3	1430	0.0040261
0.593029	1	2	3	1430	0.00402492
0.593029	1	3	3	130	0.00402479
0.593029	1	4	3	130	0.00402465
0.594029	1	3	3	130	0.00402828
0.594029	1	4	3	130	0.00402815
0.595029	1	1	3	1430	0.0040261
0.595029	1	2	3	1430	0.00402492
0.595029	1	3	3	130	0.00402479
0.595029	1	4	3	130	0.00402465
0.596029	1	3	3	130	0.00402828
0.596029	1	4	3	130	0.00402815
0.597029	1	1	3	1430	0.0040261
0.597029	1	2	3	1430	0.00402492
0.597029	1	3	3	130	0.00402479
0.597029	1	4	3	130	0.00402465
0.598029	1	3	3	130	0.00402828
0.598029	1	4	3	130	0.00402815
0.599029	1	1	3	1430	0.0040261
0.599029	1	2	3	1430	0.00402492
0.599029	1	3	3	130	0.00402479
0.599029	1	4	3	130	0.00402465
0.600029	1	3	3	130	0.00402828
0.600029	1	4	3	130	0.00402815
0.601029	1	1	3	1430	0.0040261
0.601029	1	2	3	1430	0.00402492
0.601029	1	3	3	130	0.00402479
0.601029	1	4	3	130	0.00402465
0.602029	1	3	3	130	0.00402828
0.602029	1	4	3	130	0.00402815
0.603029	1	1	3	1430	0.0040261
0.603029	1	2	3	1430	0.00402492
0.603029	1	3	3	130	0.00402479
0.603029	1	4	3	130	0.00402465
0.604029	1	3	3	130	0.00402828
0.604029	1	4	3	130	0.00402815
0.605029	1	1	3	1430	0.00402601
0.605029	1	2	3	1430	0.00402484
0.605029	1	3	3	130	0.0040247
0.605029	1	4	3	130	0.00402456
0.605029	1	5	3	80	0.00402836
0.605029	1	6	3	80	0.00402827
0.606029	1	3	3	130	0.00402828
0.606029	1	4	3	130	0.00402815
0.607029	1	1	3	1430	0.0040261
0.607029	1	2	3	1430	0.00402492
0.607029	1	3	3	130	0.00402479
0.607029	1	4	3	130	0.00402465
0.608029	1	3	3	130	0.00402828
0.608029	1	4	3	130	0.00402815
0.609029	1	1	3	1430	0.0040261
0.609029	1	2	3	1430	0.00402492
0.609029	1	3	3	130	0.00402479
0.609029	1	4	3	130	0.00402465
0.610029	1	3	3	130	0.00402828
0.610029	1	4	3	130	0.00402815
0.611029	1	1	3	1430	0.0040261
0.611029	1	2	3	1430	0.00402492
0.611029	1	3	3	130	0.00402479
0.611029	1	4	3	130	0.00402465
0.612029	1	3	3	130	0.00402828
0.612029	1	4	3	130	0.00402815
0.613029	1	1	3	1430	0.0040261
0.613029	1	2	3	1430	0.00402492
0.613029	1	3	3	130	0.00402479
0.613029	1	4	3	130	0.00402465
0.614029	1	3	3	130	0.00402828
0.614029	1	4	3	130	0.00402815
0.615029	1	1	3	1430	0.0040261
0.615029	1	2	3	1430	0.00402492
0.615029	1	3	3	130	0.00402479
0.615029	1	4	3	130	0.00402465
0.616029	1	3	3	130	0.00402828
0.616029	1	4	3	130	0.00402815
0.617029	1	1	3	1430	0.0040261
0.617029	1	2	3	1430	0.00402492
0.617029	1	3	3	130	0.00402479
0.617029	1	4	3	130	0.00402465
0.617957	1	3	3	130	0.00395685
0.617957	1	4	3	130	0.00395672
0.619029	1	1	3	1430	0.0040261
0.619029	1	2	3	1430	0.00402492
0.619029	1	3	3	130	0.00402479
0.619029	1	4	3	130	0.00402465
0.620029	1	3	3	130	0.00402828
0.620029	1	4	3	130	0.00402815
0.621029	1	1	3	1430	0.0040261
0.621029	1	2	3	1430	0.00402492
0.621029	1	3	3	130	0.00402479
0.621029	1	4	3	130	0.00402465
0.622029	1	3	3	130	0.00402828
0.622029	1	4	3	130	0.00402815
0.623029	1	1	3	1430	0.0040261
0.623029	1	2	3	1430	0.00402492
0.623029	1	3	3	130	0.00402479
0.623029	1	4	3	130	0.00402465
0.624029	1	3	3	130	0.00402828
0.624029	1	4	3	130	0.00402815
0.625029	1	1	3	1430	0.0040261
0.625029	1	2	3	1430	0.00402492
0.625029	1	3	3	130	0.00402479
0.625029	1	4	3	130	0.00402465
0.626029	1	3	3	130	0.00402828
0.626029	1	4	3	130	0.00402815
0.627029	1	1	3	1430	0.0040261
0.627029	1	2	3	1430	0.00402492
0.627029	1	3	3	130	0.00402479
0.627029	1	4	3	130	0.00402465
0.628029	1	3	3	130	0.00402828
0.628029	1	4	3	130	0.00402815
0.628957	1	1	3	1430	0.00395467
0.628957	1	2	3	1430	0.00395349
0.628957	1	3	3	130	0.00395336
0.628957	1	4	3	130	0.00395322
0.629957	1	3	3	130	0.00395685
0.629957	1	4	3	130	0.00395672
0.631029	1	1	3	1430	0.0040261
0.631029	1	2	3	1430	0.00402492
0.631029	1	3	3	130	0.00402479
0.631029	1	4	3	130	0.00402465
0.632029	1	3	3	130	0.00402828
0.632029	1	4	3	130	0.00402815
0.633029	1	1	3	1430	0.0040261
0.633029	1	2	3	1430	0.00402492
0.633029	1	3	3	130	0.00402479
0.633029	1	4	3	130	0.00402465
0.634029	1	3	3	130	0.00402828
0.634029	1	4	3	130	0.00402815
0.635029	1	1	3	1430	0.0040261
0.635029	1	2	3	1430	0.00402492
0.635029	1	3	3	130	0.00402479
0.635029	1	4	3	130	0.00402465
0.636029	1	3	3	130	0.00402828
0.636029	1	4	3	130	0.00402815
0.637029	1	1	3	1430	0.0040261
0.637029	1	2	3	1430	0.00402492
0.637029	1	3	3	130	0.00402479
0.637029	1	4	3	130	0.00402465
0.638029	1	3	3	130	0.00402828
0.638029	1	4	3	130	0.00402815
0.639029	1	1	3	1430	0.0040261
0.639029	1	2	3	1430	0.00402492
0.639029	1	3	3	130	0.00402479
0.639029	1	4	3	130	0.00402465
0.640029	1	3	3	130	0.00402828
0.640029	1	4	3	130	0.00402815
0.641029	1	1	3	1430	0.0040261
0.641029	1	2	3	1430	0.00402492
0.641029	1	3	3	130	0.00402479
0.641029	1	4	3	130	0.00402465
0.642029	1	3	3	130	0.00402828
0.642029	1	4	3	130	0.00402815
0.643029	1	1	3	1430	0.0040261
0.643029	1	2	3	1430	0.00402492
0.643029	1	3	3	130	0.00402479
0.643029	1	4	3	130	0.00402465
0.644029	1	3	3	130	0.00402828
0.644029	1	4	3	130	0.00402815
0.645029	1	1	3	1430	0.0040261
0.645029	1	2	3	1430	0.00402492
0.645029	1	3	3	130	0.00402479
0.645029	1	4	3	130	0.00402465
0.646029	1	3	3	130	0.00402828
0.646029	1	4	3	130	0.00402815
0.647029	1	1	3	1430	0.0040261
0.647029	1	2	3	1430	0.00402492
0.647029	1	3	3	130	0.00402479
0.647029	1	4	3	130	0.00402465
0.648029	1	3	3	130	0.00402828
0.648029	1	4	3	130	0.00402815
0.649029	1	1	3	1430	0.0040261
0.649029	1	2	3	1430	0.00402492
0.649029	1	3	3	130	0.00402479
0.649029	1	4	3	130	0.00402465
0.650029	1	3	3	130	0.00402828
0.650029	1	4	3	130	0.00402815
0.651029	1	1	3	1430	0.0040261
0.651029	1	2	3	1430	0.00402492
0.651029	1	3	3	130	0.00402479
0.651029	1	4	3	130	0.00402465
0.652029	1	3	3	130	0.00402828
0.652029	1	4	3	130	0.00402815
0.653029	1	1	3	1430	0.0040261
0.653029	1	2	3	1430	0.00402492
0.653029	1	3	3	130	0.00402479
0.653029	1	4	3	130	0.00402465
0.654029	1	3	3	130	0.00402828
0.654029	1	4	3	130	0.00402815
0.655029	1	1	3	1430	0.00402601
0.655029	1	2	3	1430	0.00402484
0.655029	1	3	3	130	0.0040247
0.655029	1	4	3	130	0.00402456
0.655029	1	5	3	80	0.00402836
0.655029	1	6	3	80	0.00402827
0.656029	1	3	3	130	0.00402828
0.656029	1	4	3	130	0.00402815
0.657029	1	1	3	1430	0.0040261
0.657029	1	2	3	1430	0.00402492
0.657029	1	3	3	130	0.00402479
0.657029	1	4	3	130	0.00402465
0.658029	1	3	3	130	0.00402828
0.658029	1	4	3	130	0.00402815
0.658957	1	1	3	1430	0.00395467
0.658957	1	2	3	1430	0.00395349
0.658957	1	3	3	130	0.00395336
0.658957	1	4	3	130	0.00395322
0.660029	1	3	3	130	0.00402828
0.660029	1	4	3	130	0.00402815
0.661029	1	1	3	1430	0.0040261
0.661029	1	2	3	1430	0.00402492
0.661029	1	3	3	130	0.00402479
0.661029	1	4	3	130	0.00402465
0.662029	1	3	3	130	0.00402828
0.662029	1	4	3	130	0.00402815
0.663029	1	1	3	1430	0.0040261
0.663029	1	2	3	1430	0.00402492
0.663029	1	3	3	130	0.00402479
0.663029	1	4	3	130	0.00402465
0.664029	1	3	3	130	0.00402828
0.664029	1	4	3	130	0.00402815
0.665029	1	1	3	1430	0.0040261
0.665029	1	2	3	1430	0.00402492
0.665029	1	3	3	130	0.00402479
0.665029	1	4	3	130	0.00402465
0.666029	1	3	3	130	0.00402828
0.666029	1	4	3	130	0.00402815
0.667029	1	1	3	1430	0.0040261
0.667029	1	2	3	1430	0.00402492
0.667029	1	3	3	130	0.00402479
0.667029	1	4	3	130	0.00402465
0.667957	1	3	3	130	0.00395685
0.667957	1	4	3	130	0.00395672
0.668957	1	1	3	1430	0.00395467
0.668957	1	2	3	1430	0.00395349
0.668957	1	3	3	130	0.00395336
0.668957	1	4	3	130	0.00395322
0.670029	1	3	3	130	0.00402828
0.670029	1	4	3	130	0.00402815
0.671029	1	1	3	1430	0.0040261
0.671029	1	2	3	1430	0.00402492
0.671029	1	3	3	130	0.00402479
0.671029	1	4	3	130	0.00402465
0.672029	1	3	3	130	0.00402828
0.672029	1	4	3	130	0.00402815
0.673029	1	1	3	1430	0.0040261
0.673029	1	2	3	1430	0.00402492
0.673029	1	3	3	130	0.00402479
0.673029	1	4	3	130	0.00402465
0.674029	1	3	3	130	0.00402828
0.674029	1	4	3	130	0.00402815
0.675029	1	1	3	1430	0.0040261
0.675029	1	2	3	1430	0.00402492
0.675029	1	3	3	130	0.00402479
0.675029	1	4	3	130	0.00402465
0.676029	1	3	3	130	0.00402828
0.676029	1	4	3	130	0.00402815
0.677029	1	1	3	1430	0.0040261
0.677029	1	2	3	1430	0.00402492
0.677029	1	3	3	130	0.00402479
0.677029	1	4	3	130	0.00402465
0.678029	1	3	3	130	0.00402828
0.678029	1	4	3	130	0.00402815
0.679029	1	1	3	1430	0.0040261
0.679029	1	2	3	1430	0.00402492
0.679029	1	3	3	130	0.00402479
0.679029	1	4	3	130	0.00402465
0.680029	1	3	3	130	0.00402828
0.680029	1	4	3	130	0.00402815
0.681029	1	1	3	1430	0.0040261
0.681029	1	2	3	1430	0.00402492
0.681029	1	3	3	130	0.00402479
0.681029	1	4	3	130	0.00402465
0.682029	1	3	3	130	0.00402828
0.682029	1	4	3	130	0.00402815
0.683029	1	1	3	1430	0.0040261
0.683029	1	2	3	1430	0.00402492
0.683029	1	3	3	130	0.00402479
0.683029	1	4	3	130	0.00402465
0.684029	1	3	3	130	0.00402828
0.684029	1	4	3	130	0.00402815
0.685029	1	1	3	1430	0.0040261
0.685029	1	2	3	1430	0.00402492
0.685029	1	3	3	130	0.00402479
0.685029	1	4	3	130	0.00402465
0.686029	1	3	3	130	0.00402828
0.686029	1	4	3	130	0.00402815
0.687029	1	1	3	1430	0.0040261
0.687029	1	2	3	1430	0.00402492
0.687029	1	3	3	130	0.00402479
0.687029	1	4	3	130	0.00402465
0.688029	1	3	3	130	0.00402828
0.688029	1	4	3	130	0.00402815
0.689029	1	1	3	1430	0.0040261
0.689029	1	2	3	1430	0.00402492
0.689029	1	3	3	130	0.00402479
0.689029	1	4	3	130	0.00402465
0.690029	1	3	3	130	0.00402828
0.690029	1	4	3	130	0.00402815
0.691029	1	1	3	1430	0.0040261
0.691029	1	2	3	1430	0.00402492
0.691029	1	3	3	130	0.00402479
0.691029	1	4	3	130	0.00402465
0.692029	1	3	3	130	0.00402828
0.692029	1	4	3	130	0.00402815
0.693029	1	1	3	1430	0.0040261
0.693029	1	2	3	1430	0.00402492
0.693029	1	3	3	130	0.00402479
0.693029	1	4	3	130	0.00402465
0.694029	1	3	3	130	0.00402828
0.694029	1	4	3	130	0.00402815
0.695029	1	1	3	1430	0.0040261
0.695029	1	2	3	1430	0.00402492
0.695029	1	3	3	130	0.00402479
0.695029	1	4	3	130	0.00402465
0.696029	1	3	3	130	0.00402828
0.696029	1	4	3	130	0.00402815
0.697029	1	1	3	1430	0.0040261
0.697029	1	2	3	1430	0.00402492
0.697029	1	3	3	130	0.00402479
0.697029	1	4	3	130	0.00402465
0.697957	1	3	3	130	0.00395685
0.697957	1	4	3	130	0.00395672
0.699029	1	1	3	1430	0.0040261
0.699029	1	2	3	1430	0.00402492
0.699029	1	3	3	130	0.00402479
0.699029	1	4	3	130	0.00402465
0.700029	1	3	3	130	0.00402828
0.700029	1	4	3	130	0.00402815
0.701029	1	1	3	1430	0.0040261
0.701029	1	2	3	1430	0.00402492
0.701029	1	3	3	130	0.00402479
0.701029	1	4	3	130	0.00402465
0.702029	1	3	3	130	0.00402828
0.702029	1	4	3	130	0.00402815
0.703029	1	1	3	1430	0.0040261
0.703029	1	2	3	1430	0.00402492
0.703029	1	3	3	130	0.00402479
0.703029	1	4	3	130	0.00402465
0.704029	1	3	3	130	0.00402828
0.704029	1	4	3	130	0.00402815
0.705029	1	1	3	1430	0.00402601
0.705029	1	2	3	1430	0.00402484
0.705029	1	3	3	130	0.0040247
0.705029	1	4	3	130	0.00402456
0.705029	1	5	3	80	0.00402836
0.705029	1	6	3	80	0.00402827
0.706029	1	3	3	130	0.00402828
0.706029	1	4	3	130	0.00402815
0.707029	1	1	3	1430	0.0040261
0.707029	1	2	3	1430	0.00402492
0.707029	1	3	3	130	0.00402479
0.707029	1	4	3	130	0.00402465
0.708029	1	3	3	130	0.00402828
0.708029	1	4	3	130	0.00402815
0.708957	1	1	3	1430	0.00395467
0.708957	1	2	3	1430	0.00395349
0.708957	1	3	3	130	0.00395336
0.708957	1	4	3	130	0.00395322
0.709957	1	3	3	130	0.00395685
0.709957	1	4	3	130	0.00395672
0.711029	1	1	3	1430	0.0040261
0.711029	1	2	3	1430	0.00402492
0.711029	1	3	3	130	0.00402479
0.711029	1	4	3	130	0.00402465
0.712029	1	3	3	130	0.00402828
0.712029	1	4	3	130	0.00402815
0.713029	1	1	3	1430	0.0040261
0.713029	1	2	3	1430	0.00402492
0.713029	1	3	3	130	0.00402479
