% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1146	1	6	3	0	28	1095	0	1	0
1147	1	5	5	0	28	2292	0	1	0
1148	1	5	5	0	28	1095	0	1	0
1149	1	5	5	0	28	1095	0	1	0
1150	1	5	5	0	28	1095	0	1	0
1150	1	6	3	0	28	1095	0	1	0
1151	1	4	4	0	28	749	0	1	0
1151	1	5	5	0	28	749	0	1	0
1152	1	4	4	0	28	749	0	1	0
1152	1	5	5	0	28	749	0	1	0
1152	1	6	3	0	28	749	0	1	0
1153	1	4	4	0	28	749	0	1	0
1153	1	5	5	0	28	749	0	1	0
1153	1	6	3	0	28	749	0	1	0
1154	1	5	5	0	28	2292	0	1	0
1155	1	5	5	0	28	1095	0	1	0
1155	1	6	3	0	28	1095	0	1	0
1157	1	5	5	0	28	1095	0	1	0
1158	1	5	5	0	28	1095	0	1	0
1158	1	6	3	0	28	1095	0	1	0
1159	1	5	5	0	28	1095	0	1	0
1159	1	6	3	0	28	1095	0	1	0
1160	1	5	5	0	28	1095	0	1	0
1160	1	6	3	0	28	1095	0	1	0
1161	1	4	4	0	28	749	0	1	0
1161	1	5	5	0	28	749	0	1	0
1162	1	4	4	0	28	749	0	1	0
1162	1	5	5	0	28	749	0	1	0
1162	1	6	3	0	28	749	0	1	0
1163	1	4	4	0	28	1095	0	1	0
1163	1	6	3	0	28	1095	0	1	0
1164	1	5	5	0	28	1095	0	1	0
1166	1	6	3	0	28	2292	0	1	0
1167	1	6	3	0	28	2292	0	1	0
1170	1	6	3	0	28	2292	0	1	0
1171	1	4	4	0	28	749	0	1	0
1171	1	5	5	0	28	749	0	1	0
1172	1	4	4	0	28	749	0	1	0
1172	1	5	5	0	28	749	0	1	0
1172	1	6	3	0	28	749	0	1	0
1173	1	4	4	0	28	749	0	1	0
1173	1	5	5	0	28	749	0	1	0
1173	1	6	3	0	28	749	0	1	0
1174	1	5	5	0	28	2292	0	1	0
1175	1	5	5	0	28	2292	0	1	0
1176	1	5	5	0	28	1095	0	1	0
1177	1	5	5	0	28	1095	0	1	0
1178	1	5	5	0	28	2292	0	1	0
1179	1	5	5	0	28	1095	0	1	0
1180	1	5	5	0	28	1095	0	1	0
1181	1	4	4	0	28	749	0	1	0
1181	1	5	5	0	28	749	0	1	0
1181	1	6	3	0	28	749	0	1	0
1182	1	4	4	0	28	749	0	1	0
1182	1	5	5	0	28	749	0	1	0
1183	1	4	4	0	28	749	0	1	0
1183	1	5	5	0	28	749	0	1	0
