Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.533929	DL	53	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.534929	DL	53	4	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.534929	DL	53	4	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.534929	DL	53	4	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.534929	DL	53	4	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.535929	DL	53	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.535929	DL	53	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.536929	DL	53	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.536929	DL	53	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.536929	DL	53	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.536929	DL	53	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.537857	DL	53	7	0	1	11	1	0	3	163	28	1	0	41.8154	15	0	5.701e-14
0.537857	DL	53	7	0	1	11	1	0	4	163	28	1	0	35.717	15	0	5.701e-14
0.538929	DL	53	8	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.538929	DL	53	8	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.538929	DL	53	8	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.538929	DL	53	8	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.539929	DL	53	9	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.539929	DL	53	9	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.540929	DL	54	0	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.540929	DL	54	0	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.540929	DL	54	0	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.540929	DL	54	0	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.541929	DL	54	1	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.541929	DL	54	1	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.542929	DL	54	2	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.542929	DL	54	2	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.542929	DL	54	2	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.542929	DL	54	2	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.543929	DL	54	3	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.543929	DL	54	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.544929	DL	54	4	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.544929	DL	54	4	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.544929	DL	54	4	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.544929	DL	54	4	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.545929	DL	54	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.545929	DL	54	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.546929	DL	54	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.546929	DL	54	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.546929	DL	54	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.546929	DL	54	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.547929	DL	54	7	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.547929	DL	54	7	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.548857	DL	54	8	0	1	11	1	0	1	1471	22	1	0	15.8212	12	0	0
0.548857	DL	54	8	0	1	11	1	0	2	1499	28	1	0	26.3133	15	0	0
0.548857	DL	54	8	0	1	11	1	0	3	163	28	1	0	31.115	15	0	5.701e-14
0.548857	DL	54	8	0	1	11	1	0	4	163	28	1	0	25.0166	15	0	5.701e-14
0.549857	DL	54	9	0	1	11	1	0	3	163	28	1	0	41.8154	15	0	5.701e-14
0.549857	DL	54	9	0	1	11	1	0	4	163	28	1	0	35.717	15	0	5.701e-14
0.550929	DL	55	0	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.550929	DL	55	0	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.550929	DL	55	0	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.550929	DL	55	0	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.551929	DL	55	1	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.551929	DL	55	1	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.552929	DL	55	2	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.552929	DL	55	2	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.552929	DL	55	2	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.552929	DL	55	2	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.553929	DL	55	3	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.553929	DL	55	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.554929	DL	55	4	0	1	12	1	0	1	1477	22	1	0	15.928	12	0	0
0.554929	DL	55	4	0	1	12	1	0	2	1454	28	1	0	26.2698	15	0	0
0.554929	DL	55	4	0	1	12	1	0	3	179	28	1	0	31.2092	15	0	5.701e-14
0.554929	DL	55	4	0	1	12	1	0	4	179	28	1	0	24.8531	15	0	5.701e-14
0.554929	DL	55	4	0	1	12	1	0	5	165	26	1	0	25.3316	15	0	0
0.554929	DL	55	4	0	1	12	1	0	6	88	28	1	0	32.1266	15	0	5.701e-14
0.555929	DL	55	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.555929	DL	55	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.556929	DL	55	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.556929	DL	55	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.556929	DL	55	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.556929	DL	55	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.557929	DL	55	7	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.557929	DL	55	7	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.558929	DL	55	8	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.558929	DL	55	8	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.558929	DL	55	8	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.558929	DL	55	8	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.559929	DL	55	9	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.559929	DL	55	9	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.560929	DL	56	0	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.560929	DL	56	0	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.560929	DL	56	0	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.560929	DL	56	0	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.561929	DL	56	1	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.561929	DL	56	1	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.562929	DL	56	2	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.562929	DL	56	2	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.562929	DL	56	2	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.562929	DL	56	2	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.563929	DL	56	3	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
