time(s)	cellId	rnti	lcid	packetSize
0.613002	1	1	3	1430
0.613004	1	2	3	1430
0.613004	1	3	3	130
0.613004	1	4	3	130
0.614	1	3	3	130
0.614	1	4	3	130
0.615002	1	1	3	1430
0.615004	1	2	3	1430
0.615004	1	3	3	130
0.615004	1	4	3	130
0.616	1	3	3	130
0.616	1	4	3	130
0.617002	1	1	3	1430
0.617004	1	2	3	1430
0.617004	1	3	3	130
0.617004	1	4	3	130
0.618	1	3	3	130
0.618	1	4	3	130
0.619002	1	1	3	1430
0.619004	1	2	3	1430
0.619004	1	3	3	130
0.619004	1	4	3	130
0.62	1	3	3	130
0.62	1	4	3	130
0.621002	1	1	3	1430
0.621004	1	2	3	1430
0.621004	1	3	3	130
0.621004	1	4	3	130
0.622	1	3	3	130
0.622	1	4	3	130
0.623002	1	1	3	1430
0.623004	1	2	3	1430
0.623004	1	3	3	130
0.623004	1	4	3	130
0.624	1	3	3	130
0.624	1	4	3	130
0.625002	1	1	3	1430
0.625004	1	2	3	1430
0.625004	1	3	3	130
0.625004	1	4	3	130
0.626	1	3	3	130
0.626	1	4	3	130
0.627002	1	1	3	1430
0.627004	1	2	3	1430
0.627004	1	3	3	130
0.627004	1	4	3	130
0.628	1	3	3	130
0.628	1	4	3	130
0.629002	1	1	3	1430
0.629004	1	2	3	1430
0.629004	1	3	3	130
0.629004	1	4	3	130
0.63	1	3	3	130
0.63	1	4	3	130
0.631002	1	1	3	1430
0.631004	1	2	3	1430
0.631004	1	3	3	130
0.631004	1	4	3	130
0.632	1	3	3	130
0.632	1	4	3	130
0.633002	1	1	3	1430
0.633004	1	2	3	1430
0.633004	1	3	3	130
0.633004	1	4	3	130
0.634	1	3	3	130
0.634	1	4	3	130
0.635002	1	1	3	1430
0.635004	1	2	3	1430
0.635004	1	3	3	130
0.635004	1	4	3	130
0.636	1	3	3	130
0.636	1	4	3	130
0.637002	1	1	3	1430
0.637004	1	2	3	1430
0.637004	1	3	3	130
0.637004	1	4	3	130
0.638	1	3	3	130
0.638	1	4	3	130
0.639002	1	1	3	1430
0.639004	1	2	3	1430
0.639004	1	3	3	130
0.639004	1	4	3	130
0.64	1	3	3	130
0.64	1	4	3	130
0.641002	1	1	3	1430
0.641004	1	2	3	1430
0.641004	1	3	3	130
0.641004	1	4	3	130
0.642	1	3	3	130
0.642	1	4	3	130
0.643002	1	1	3	1430
0.643004	1	2	3	1430
0.643004	1	3	3	130
0.643004	1	4	3	130
0.644	1	3	3	130
0.644	1	4	3	130
0.645002	1	1	3	1430
0.645004	1	2	3	1430
0.645004	1	3	3	130
0.645004	1	4	3	130
0.646	1	3	3	130
0.646	1	4	3	130
0.647002	1	1	3	1430
0.647004	1	2	3	1430
0.647004	1	3	3	130
0.647004	1	4	3	130
0.648	1	3	3	130
0.648	1	4	3	130
0.649002	1	1	3	1430
0.649004	1	2	3	1430
0.649004	1	3	3	130
0.649004	1	4	3	130
0.65	1	3	3	130
0.65	1	4	3	130
0.651	1	5	3	80
0.651	1	6	3	80
0.651003	1	1	3	1430
0.651004	1	2	3	1430
0.651004	1	3	3	130
0.651004	1	4	3	130
0.652	1	3	3	130
0.652	1	4	3	130
0.653002	1	1	3	1430
0.653004	1	2	3	1430
0.653004	1	3	3	130
0.653004	1	4	3	130
0.654	1	3	3	130
0.654	1	4	3	130
0.655002	1	1	3	1430
0.655004	1	2	3	1430
0.655004	1	3	3	130
0.655004	1	4	3	130
0.656	1	3	3	130
0.656	1	4	3	130
0.657002	1	1	3	1430
0.657004	1	2	3	1430
0.657004	1	3	3	130
0.657004	1	4	3	130
0.658	1	3	3	130
0.658	1	4	3	130
0.659002	1	1	3	1430
0.659004	1	2	3	1430
0.659004	1	3	3	130
0.659004	1	4	3	130
0.66	1	3	3	130
0.66	1	4	3	130
0.661002	1	1	3	1430
0.661004	1	2	3	1430
0.661004	1	3	3	130
0.661004	1	4	3	130
0.662	1	3	3	130
0.662	1	4	3	130
0.663002	1	1	3	1430
0.663004	1	2	3	1430
0.663004	1	3	3	130
0.663004	1	4	3	130
0.664	1	3	3	130
0.664	1	4	3	130
0.665002	1	1	3	1430
0.665004	1	2	3	1430
0.665004	1	3	3	130
0.665004	1	4	3	130
0.666	1	3	3	130
0.666	1	4	3	130
0.667002	1	1	3	1430
0.667004	1	2	3	1430
0.667004	1	3	3	130
0.667004	1	4	3	130
0.668	1	3	3	130
0.668	1	4	3	130
0.669002	1	1	3	1430
0.669004	1	2	3	1430
0.669004	1	3	3	130
0.669004	1	4	3	130
0.67	1	3	3	130
0.67	1	4	3	130
0.671002	1	1	3	1430
0.671004	1	2	3	1430
